color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(70, 158, 0)","(0, 168, 0)","(177, 132, -8)","(177, 132, -8)",70.7106781187,0.0
"(70, 178, 0)","(0, 188, 0)","(198, 148, -9)","(198, 148, -9)",70.7106781187,0.0
"(70, 198, 0)","(0, 208, 0)","(219, 164, -10)","(219, 164, -10)",70.7106781187,0.0
"(70, 218, 0)","(0, 228, 0)","(240, 179, -11)","(240, 179, -11)",70.7106781187,0.0
"(70, 228, 0)","(0, 238, 0)","(251, 187, -11)","(251, 187, -11)",70.7106781187,0.0
"(70, 238, 0)","(0, 248, 0)","(261, 195, -12)","(261, 195, -12)",70.7106781187,0.0
