color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(0, 11, 153)","(29, 0, 154)","(0, 15, 149)","(0, 15, 149)",31.0322412984,0.0
"(0, 11, 154)","(26, 0, 155)","(0, 15, 150)","(0, 15, 150)",28.2488937837,0.0
"(0, 11, 154)","(27, 0, 155)","(0, 15, 150)","(0, 15, 150)",29.1719042916,0.0
"(0, 11, 154)","(28, 0, 155)","(0, 15, 150)","(0, 15, 150)",30.0998338866,0.0
"(0, 11, 154)","(29, 0, 155)","(0, 15, 150)","(0, 15, 150)",31.0322412984,0.0
"(0, 11, 155)","(26, 0, 156)","(0, 15, 151)","(0, 15, 151)",28.2488937837,0.0
"(0, 11, 155)","(27, 0, 156)","(0, 15, 151)","(0, 15, 151)",29.1719042916,0.0
"(0, 11, 155)","(28, 0, 156)","(0, 15, 151)","(0, 15, 151)",30.0998338866,0.0
"(0, 11, 156)","(26, 0, 157)","(0, 15, 152)","(0, 15, 152)",28.2488937837,0.0
"(0, 11, 156)","(27, 0, 157)","(0, 15, 152)","(0, 15, 152)",29.1719042916,0.0
"(0, 11, 156)","(28, 0, 157)","(0, 15, 152)","(0, 15, 152)",30.0998338866,0.0
"(0, 11, 157)","(26, 0, 158)","(0, 15, 153)","(0, 15, 153)",28.2488937837,0.0
"(0, 11, 157)","(27, 0, 158)","(0, 15, 153)","(0, 15, 153)",29.1719042916,0.0
"(0, 11, 157)","(28, 0, 158)","(0, 15, 153)","(0, 15, 153)",30.0998338866,0.0
"(0, 11, 158)","(25, 0, 159)","(0, 15, 154)","(0, 15, 154)",27.3313007374,0.0
"(0, 11, 158)","(26, 0, 159)","(0, 15, 154)","(0, 15, 154)",28.2488937837,0.0
"(0, 11, 158)","(27, 0, 159)","(0, 15, 154)","(0, 15, 154)",29.1719042916,0.0
"(0, 11, 158)","(28, 0, 159)","(0, 15, 154)","(0, 15, 154)",30.0998338866,0.0
"(0, 11, 159)","(25, 0, 160)","(0, 15, 155)","(0, 15, 155)",27.3313007374,0.0
"(0, 11, 159)","(26, 0, 160)","(0, 15, 155)","(0, 15, 155)",28.2488937837,0.0
"(0, 11, 159)","(27, 0, 160)","(0, 15, 155)","(0, 15, 155)",29.1719042916,0.0
"(0, 11, 159)","(28, 0, 160)","(0, 15, 155)","(0, 15, 155)",30.0998338866,0.0
"(0, 11, 160)","(25, 0, 160)","(0, 15, 155)","(0, 15, 155)",27.3130005675,0.0
"(0, 11, 160)","(26, 0, 160)","(0, 15, 155)","(0, 15, 155)",28.231188427,0.0
"(0, 11, 160)","(27, 0, 160)","(0, 15, 155)","(0, 15, 155)",29.1547594742,0.0
"(0, 11, 160)","(28, 0, 160)","(0, 15, 155)","(0, 15, 155)",30.083217913,0.0
"(0, 11, 161)","(25, 0, 161)","(0, 15, 156)","(0, 15, 156)",27.3130005675,0.0
"(0, 11, 161)","(26, 0, 161)","(0, 15, 156)","(0, 15, 156)",28.231188427,0.0
"(0, 11, 161)","(27, 0, 161)","(0, 15, 156)","(0, 15, 156)",29.1547594742,0.0
"(0, 11, 161)","(28, 0, 161)","(0, 15, 156)","(0, 15, 156)",30.083217913,0.0
"(0, 11, 162)","(25, 0, 162)","(0, 15, 157)","(0, 15, 157)",27.3130005675,0.0
"(0, 11, 162)","(26, 0, 162)","(0, 15, 157)","(0, 15, 157)",28.231188427,0.0
"(0, 11, 162)","(27, 0, 162)","(0, 15, 157)","(0, 15, 157)",29.1547594742,0.0
"(0, 11, 163)","(25, 0, 163)","(0, 15, 158)","(0, 15, 158)",27.3130005675,0.0
"(0, 11, 163)","(26, 0, 163)","(0, 15, 158)","(0, 15, 158)",28.231188427,0.0
"(0, 11, 163)","(27, 0, 163)","(0, 15, 158)","(0, 15, 158)",29.1547594742,0.0
"(0, 11, 164)","(25, 0, 164)","(0, 15, 159)","(0, 15, 159)",27.3130005675,0.0
"(0, 11, 164)","(26, 0, 164)","(0, 15, 159)","(0, 15, 159)",28.231188427,0.0
"(0, 11, 164)","(27, 0, 164)","(0, 15, 159)","(0, 15, 159)",29.1547594742,0.0
"(0, 11, 165)","(24, 0, 165)","(0, 15, 160)","(0, 15, 160)",26.4007575649,0.0
"(0, 11, 165)","(25, 0, 165)","(0, 15, 160)","(0, 15, 160)",27.3130005675,0.0
"(0, 11, 165)","(26, 0, 165)","(0, 15, 160)","(0, 15, 160)",28.231188427,0.0
"(0, 11, 165)","(27, 0, 165)","(0, 15, 160)","(0, 15, 160)",29.1547594742,0.0
"(0, 11, 166)","(24, 0, 166)","(0, 15, 161)","(0, 15, 161)",26.4007575649,0.0
"(0, 11, 166)","(25, 0, 166)","(0, 15, 161)","(0, 15, 161)",27.3130005675,0.0
"(0, 11, 166)","(26, 0, 166)","(0, 15, 161)","(0, 15, 161)",28.231188427,0.0
"(0, 11, 166)","(26, 0, 167)","(0, 15, 161)","(0, 15, 161)",28.2488937837,0.0
"(0, 11, 166)","(27, 0, 166)","(0, 15, 161)","(0, 15, 161)",29.1547594742,0.0
"(0, 11, 166)","(27, 0, 167)","(0, 15, 161)","(0, 15, 161)",29.1719042916,0.0
"(0, 11, 167)","(24, 0, 167)","(0, 15, 162)","(0, 15, 162)",26.4007575649,0.0
"(0, 11, 167)","(24, 0, 168)","(0, 15, 162)","(0, 15, 162)",26.4196896272,0.0
"(0, 11, 167)","(25, 0, 167)","(0, 15, 162)","(0, 15, 162)",27.3130005675,0.0
"(0, 11, 167)","(25, 0, 168)","(0, 15, 162)","(0, 15, 162)",27.3313007374,0.0
"(0, 11, 167)","(26, 0, 168)","(0, 15, 162)","(0, 15, 162)",28.2488937837,0.0
"(0, 11, 168)","(24, 0, 169)","(0, 15, 163)","(0, 15, 163)",26.4196896272,0.0
"(0, 11, 168)","(25, 0, 169)","(0, 15, 163)","(0, 15, 163)",27.3313007374,0.0
"(0, 11, 168)","(26, 0, 169)","(0, 15, 163)","(0, 15, 163)",28.2488937837,0.0
"(0, 11, 169)","(23, 0, 170)","(0, 15, 164)","(0, 15, 164)",25.5147016443,0.0
"(0, 11, 169)","(24, 0, 170)","(0, 15, 164)","(0, 15, 164)",26.4196896272,0.0
"(0, 11, 169)","(25, 0, 170)","(0, 15, 164)","(0, 15, 164)",27.3313007374,0.0
"(0, 11, 169)","(26, 0, 170)","(0, 15, 164)","(0, 15, 164)",28.2488937837,0.0
"(0, 11, 170)","(23, 0, 171)","(0, 15, 165)","(0, 15, 165)",25.5147016443,0.0
"(0, 11, 170)","(24, 0, 171)","(0, 15, 165)","(0, 15, 165)",26.4196896272,0.0
"(0, 11, 170)","(25, 0, 171)","(0, 15, 165)","(0, 15, 165)",27.3313007374,0.0
"(0, 11, 170)","(26, 0, 171)","(0, 15, 165)","(0, 15, 165)",28.2488937837,0.0
"(0, 11, 171)","(27, 0, 172)","(0, 16, 166)","(0, 16, 166)",29.1719042916,0.0
"(0, 11, 171)","(28, 0, 172)","(0, 16, 166)","(0, 16, 166)",30.0998338866,0.0
"(0, 11, 171)","(29, 0, 172)","(0, 16, 166)","(0, 16, 166)",31.0322412984,0.0
"(0, 11, 172)","(27, 0, 173)","(0, 16, 167)","(0, 16, 167)",29.1719042916,0.0
"(0, 11, 172)","(28, 0, 173)","(0, 16, 167)","(0, 16, 167)",30.0998338866,0.0
"(0, 11, 172)","(29, 0, 173)","(0, 16, 167)","(0, 16, 167)",31.0322412984,0.0
"(0, 11, 173)","(26, 0, 174)","(0, 16, 168)","(0, 16, 168)",28.2488937837,0.0
