"(70, 128, 0)","(0, 138, 0)",70.7106781187
"(70, 138, 0)","(0, 148, 0)",70.7106781187
"(70, 148, 0)","(0, 158, 0)",70.7106781187
"(70, 158, 0)","(0, 168, 0)",70.7106781187
"(70, 168, 0)","(0, 178, 0)",70.7106781187
"(70, 178, 0)","(0, 188, 0)",70.7106781187
"(70, 188, 0)","(0, 198, 0)",70.7106781187
"(70, 198, 0)","(0, 208, 0)",70.7106781187
"(70, 208, 0)","(0, 218, 0)",70.7106781187
"(70, 218, 0)","(0, 228, 0)",70.7106781187
"(70, 228, 0)","(0, 238, 0)",70.7106781187
"(70, 238, 0)","(0, 248, 0)",70.7106781187
