color1,color2,distance
"(2, 188, 0)","(0, 188, 0)",2.0
"(2, 188, 0)","(0, 189, 0)",2.2360679775
"(2, 189, 0)","(0, 189, 0)",2.0
"(2, 189, 0)","(0, 190, 0)",2.2360679775
"(2, 190, 0)","(0, 190, 0)",2.0
"(2, 190, 0)","(0, 191, 0)",2.2360679775
"(2, 191, 0)","(0, 191, 0)",2.0
"(2, 191, 0)","(0, 192, 0)",2.2360679775
"(2, 192, 0)","(0, 192, 0)",2.0
"(2, 192, 0)","(0, 193, 0)",2.2360679775
"(2, 193, 0)","(0, 193, 0)",2.0
"(2, 193, 0)","(0, 194, 0)",2.2360679775
"(2, 194, 0)","(0, 194, 0)",2.0
"(2, 194, 0)","(0, 195, 0)",2.2360679775
"(2, 195, 0)","(0, 195, 0)",2.0
"(2, 195, 0)","(0, 196, 0)",2.2360679775
"(2, 196, 0)","(0, 196, 0)",2.0
"(2, 196, 0)","(0, 197, 0)",2.2360679775
"(2, 197, 0)","(0, 197, 0)",2.0
"(2, 197, 0)","(0, 198, 0)",2.2360679775
"(2, 198, 0)","(0, 198, 0)",2.0
"(2, 198, 0)","(0, 199, 0)",2.2360679775
"(2, 199, 0)","(0, 199, 0)",2.0
"(2, 199, 0)","(0, 200, 0)",2.2360679775
"(2, 200, 0)","(0, 200, 0)",2.0
"(2, 200, 0)","(0, 201, 0)",2.2360679775
"(2, 201, 0)","(0, 201, 0)",2.0
"(2, 201, 0)","(0, 202, 0)",2.2360679775
"(2, 202, 0)","(0, 202, 0)",2.0
"(2, 202, 0)","(0, 203, 0)",2.2360679775
"(2, 203, 0)","(0, 203, 0)",2.0
"(2, 203, 0)","(0, 204, 0)",2.2360679775
"(2, 204, 0)","(0, 204, 0)",2.0
"(2, 204, 0)","(0, 205, 0)",2.2360679775
"(2, 205, 0)","(0, 205, 0)",2.0
"(2, 205, 0)","(0, 206, 0)",2.2360679775
"(2, 206, 0)","(0, 206, 0)",2.0
"(2, 206, 0)","(0, 207, 0)",2.2360679775
"(2, 207, 0)","(0, 207, 0)",2.0
"(2, 207, 0)","(0, 208, 0)",2.2360679775
"(2, 208, 0)","(0, 208, 0)",2.0
"(2, 208, 0)","(0, 209, 0)",2.2360679775
"(2, 209, 0)","(0, 209, 0)",2.0
"(2, 209, 0)","(0, 210, 0)",2.2360679775
"(2, 210, 0)","(0, 210, 0)",2.0
"(2, 210, 0)","(0, 211, 0)",2.2360679775
"(2, 211, 0)","(0, 211, 0)",2.0
"(2, 211, 0)","(0, 212, 0)",2.2360679775
"(2, 212, 0)","(0, 212, 0)",2.0
"(2, 212, 0)","(0, 213, 0)",2.2360679775
"(2, 213, 0)","(0, 213, 0)",2.0
"(2, 213, 0)","(0, 214, 0)",2.2360679775
"(2, 214, 0)","(0, 214, 0)",2.0
"(2, 214, 0)","(0, 215, 0)",2.2360679775
"(2, 215, 0)","(0, 215, 0)",2.0
"(2, 215, 0)","(0, 216, 0)",2.2360679775
"(2, 216, 0)","(0, 216, 0)",2.0
"(2, 216, 0)","(0, 217, 0)",2.2360679775
"(2, 217, 0)","(0, 217, 0)",2.0
"(2, 217, 0)","(0, 218, 0)",2.2360679775
"(2, 218, 0)","(0, 218, 0)",2.0
"(2, 218, 0)","(0, 219, 0)",2.2360679775
"(2, 219, 0)","(0, 219, 0)",2.0
"(2, 219, 0)","(0, 220, 0)",2.2360679775
"(2, 220, 0)","(0, 220, 0)",2.0
"(2, 220, 0)","(0, 221, 0)",2.2360679775
"(2, 221, 0)","(0, 221, 0)",2.0
"(2, 221, 0)","(0, 222, 0)",2.2360679775
"(2, 222, 0)","(0, 222, 0)",2.0
"(2, 222, 0)","(0, 223, 0)",2.2360679775
"(2, 223, 0)","(0, 223, 0)",2.0
"(2, 223, 0)","(0, 224, 0)",2.2360679775
"(2, 224, 0)","(0, 224, 0)",2.0
"(2, 224, 0)","(0, 225, 0)",2.2360679775
"(2, 225, 0)","(0, 225, 0)",2.0
"(2, 225, 0)","(0, 226, 0)",2.2360679775
"(2, 226, 0)","(0, 226, 0)",2.0
"(2, 226, 0)","(0, 227, 0)",2.2360679775
"(2, 227, 0)","(0, 227, 0)",2.0
"(2, 227, 0)","(0, 228, 0)",2.2360679775
"(2, 228, 0)","(0, 228, 0)",2.0
"(2, 228, 0)","(0, 229, 0)",2.2360679775
"(2, 229, 0)","(0, 229, 0)",2.0
"(2, 229, 0)","(0, 230, 0)",2.2360679775
"(2, 230, 0)","(0, 230, 0)",2.0
"(2, 230, 0)","(0, 231, 0)",2.2360679775
"(2, 231, 0)","(0, 231, 0)",2.0
"(2, 231, 0)","(0, 232, 0)",2.2360679775
"(2, 232, 0)","(0, 232, 0)",2.0
"(2, 232, 0)","(0, 233, 0)",2.2360679775
"(2, 233, 0)","(0, 233, 0)",2.0
"(2, 233, 0)","(0, 234, 0)",2.2360679775
"(2, 234, 0)","(0, 234, 0)",2.0
"(2, 234, 0)","(0, 235, 0)",2.2360679775
"(2, 235, 0)","(0, 235, 0)",2.0
"(2, 235, 0)","(0, 236, 0)",2.2360679775
"(2, 236, 0)","(0, 236, 0)",2.0
"(2, 236, 0)","(0, 237, 0)",2.2360679775
"(2, 237, 0)","(0, 237, 0)",2.0
"(2, 237, 0)","(0, 238, 0)",2.2360679775
"(2, 238, 0)","(0, 238, 0)",2.0
"(2, 238, 0)","(0, 239, 0)",2.2360679775
"(2, 239, 0)","(0, 239, 0)",2.0
"(2, 239, 0)","(0, 240, 0)",2.2360679775
"(2, 240, 0)","(0, 240, 0)",2.0
"(2, 240, 0)","(0, 241, 0)",2.2360679775
"(2, 241, 0)","(0, 241, 0)",2.0
"(2, 241, 0)","(0, 242, 0)",2.2360679775
"(2, 242, 0)","(0, 242, 0)",2.0
"(2, 242, 0)","(0, 243, 0)",2.2360679775
"(2, 243, 0)","(0, 243, 0)",2.0
"(2, 243, 0)","(0, 244, 0)",2.2360679775
"(2, 244, 0)","(0, 244, 0)",2.0
"(2, 244, 0)","(0, 245, 0)",2.2360679775
"(2, 245, 0)","(0, 245, 0)",2.0
"(2, 245, 0)","(0, 246, 0)",2.2360679775
"(2, 246, 0)","(0, 246, 0)",2.0
"(2, 246, 0)","(0, 247, 0)",2.2360679775
"(2, 247, 0)","(0, 247, 0)",2.0
"(2, 247, 0)","(0, 248, 0)",2.2360679775
"(2, 248, 0)","(0, 248, 0)",2.0
"(2, 248, 0)","(0, 249, 0)",2.2360679775
"(2, 249, 0)","(0, 249, 0)",2.0
"(2, 249, 0)","(0, 250, 0)",2.2360679775
"(2, 250, 0)","(0, 250, 0)",2.0
"(2, 250, 0)","(0, 251, 0)",2.2360679775
"(2, 251, 0)","(0, 251, 0)",2.0
"(2, 251, 0)","(0, 252, 0)",2.2360679775
"(2, 252, 0)","(0, 252, 0)",2.0
"(2, 252, 0)","(0, 253, 0)",2.2360679775
"(2, 253, 0)","(0, 253, 0)",2.0
"(2, 253, 0)","(0, 254, 0)",2.2360679775
"(2, 254, 0)","(0, 254, 0)",2.0
"(2, 254, 0)","(0, 255, 0)",2.2360679775
"(2, 255, 0)","(0, 255, 0)",2.0
"(3, 128, 0)","(0, 128, 0)",3.0
"(3, 128, 0)","(0, 129, 0)",3.16227766017
"(3, 129, 0)","(0, 129, 0)",3.0
"(3, 129, 0)","(0, 130, 0)",3.16227766017
"(3, 130, 0)","(0, 130, 0)",3.0
"(3, 130, 0)","(0, 131, 0)",3.16227766017
"(3, 131, 0)","(0, 131, 0)",3.0
"(3, 131, 0)","(0, 132, 0)",3.16227766017
"(3, 132, 0)","(0, 132, 0)",3.0
"(3, 132, 0)","(0, 133, 0)",3.16227766017
"(3, 133, 0)","(0, 133, 0)",3.0
"(3, 133, 0)","(0, 134, 0)",3.16227766017
"(3, 134, 0)","(0, 134, 0)",3.0
"(3, 134, 0)","(0, 135, 0)",3.16227766017
"(3, 135, 0)","(0, 135, 0)",3.0
"(3, 135, 0)","(0, 136, 0)",3.16227766017
"(3, 136, 0)","(0, 136, 0)",3.0
"(3, 136, 0)","(0, 137, 0)",3.16227766017
"(3, 137, 0)","(0, 137, 0)",3.0
"(3, 137, 0)","(0, 138, 0)",3.16227766017
"(3, 138, 0)","(0, 138, 0)",3.0
"(3, 138, 0)","(0, 139, 0)",3.16227766017
"(3, 139, 0)","(0, 139, 0)",3.0
"(3, 139, 0)","(0, 140, 0)",3.16227766017
"(3, 140, 0)","(0, 140, 0)",3.0
"(3, 140, 0)","(0, 141, 0)",3.16227766017
"(3, 141, 0)","(0, 141, 0)",3.0
"(3, 141, 0)","(0, 142, 0)",3.16227766017
"(3, 142, 0)","(0, 142, 0)",3.0
"(3, 142, 0)","(0, 143, 0)",3.16227766017
"(3, 143, 0)","(0, 143, 0)",3.0
"(3, 143, 0)","(0, 144, 0)",3.16227766017
"(3, 144, 0)","(0, 144, 0)",3.0
"(3, 144, 0)","(0, 145, 0)",3.16227766017
"(3, 145, 0)","(0, 145, 0)",3.0
"(3, 145, 0)","(0, 146, 0)",3.16227766017
"(3, 146, 0)","(0, 146, 0)",3.0
"(3, 146, 0)","(0, 147, 0)",3.16227766017
"(3, 147, 0)","(0, 147, 0)",3.0
"(3, 147, 0)","(0, 148, 0)",3.16227766017
"(3, 148, 0)","(0, 148, 0)",3.0
"(3, 148, 0)","(0, 149, 0)",3.16227766017
"(3, 149, 0)","(0, 149, 0)",3.0
"(3, 149, 0)","(0, 150, 0)",3.16227766017
"(3, 150, 0)","(0, 150, 0)",3.0
"(3, 150, 0)","(0, 151, 0)",3.16227766017
"(3, 151, 0)","(0, 151, 0)",3.0
"(3, 151, 0)","(0, 152, 0)",3.16227766017
"(3, 152, 0)","(0, 152, 0)",3.0
