color1,color2,distance
"(12, 232, 0)","(0, 233, 0)",12.0415945788
"(12, 232, 0)","(0, 234, 0)",12.1655250606
"(12, 233, 0)","(0, 234, 0)",12.0415945788
"(12, 233, 0)","(0, 235, 0)",12.1655250606
"(12, 234, 0)","(0, 235, 0)",12.0415945788
"(12, 234, 0)","(0, 236, 0)",12.1655250606
"(12, 235, 0)","(0, 236, 0)",12.0415945788
"(12, 235, 0)","(0, 237, 0)",12.1655250606
"(12, 236, 0)","(0, 237, 0)",12.0415945788
"(12, 236, 0)","(0, 238, 0)",12.1655250606
"(12, 237, 0)","(0, 238, 0)",12.0415945788
"(12, 237, 0)","(0, 239, 0)",12.1655250606
"(12, 238, 0)","(0, 239, 0)",12.0415945788
"(12, 238, 0)","(0, 240, 0)",12.1655250606
"(12, 239, 0)","(0, 240, 0)",12.0415945788
"(12, 239, 0)","(0, 241, 0)",12.1655250606
"(12, 240, 0)","(0, 241, 0)",12.0415945788
"(12, 240, 0)","(0, 242, 0)",12.1655250606
"(12, 241, 0)","(0, 242, 0)",12.0415945788
"(12, 241, 0)","(0, 243, 0)",12.1655250606
"(12, 242, 0)","(0, 243, 0)",12.0415945788
"(12, 242, 0)","(0, 244, 0)",12.1655250606
"(12, 243, 0)","(0, 244, 0)",12.0415945788
"(12, 243, 0)","(0, 245, 0)",12.1655250606
"(12, 244, 0)","(0, 245, 0)",12.0415945788
"(12, 244, 0)","(0, 246, 0)",12.1655250606
"(12, 245, 0)","(0, 246, 0)",12.0415945788
"(12, 245, 0)","(0, 247, 0)",12.1655250606
"(12, 246, 0)","(0, 247, 0)",12.0415945788
"(12, 246, 0)","(0, 248, 0)",12.1655250606
"(12, 247, 0)","(0, 248, 0)",12.0415945788
"(12, 247, 0)","(0, 249, 0)",12.1655250606
"(12, 248, 0)","(0, 249, 0)",12.0415945788
"(12, 248, 0)","(0, 250, 0)",12.1655250606
"(12, 249, 0)","(0, 250, 0)",12.0415945788
"(12, 249, 0)","(0, 251, 0)",12.1655250606
"(12, 250, 0)","(0, 251, 0)",12.0415945788
"(12, 250, 0)","(0, 252, 0)",12.1655250606
"(12, 251, 0)","(0, 252, 0)",12.0415945788
"(12, 251, 0)","(0, 253, 0)",12.1655250606
"(12, 252, 0)","(0, 253, 0)",12.0415945788
"(12, 252, 0)","(0, 254, 0)",12.1655250606
"(12, 253, 0)","(0, 254, 0)",12.0415945788
"(12, 253, 0)","(0, 255, 0)",12.1655250606
"(12, 254, 0)","(0, 255, 0)",12.0415945788
"(13, 128, 0)","(0, 130, 0)",13.152946438
"(13, 129, 0)","(0, 131, 0)",13.152946438
"(13, 130, 0)","(0, 132, 0)",13.152946438
"(13, 131, 0)","(0, 133, 0)",13.152946438
"(13, 132, 0)","(0, 134, 0)",13.152946438
"(13, 133, 0)","(0, 135, 0)",13.152946438
"(13, 134, 0)","(0, 136, 0)",13.152946438
"(13, 135, 0)","(0, 137, 0)",13.152946438
"(13, 136, 0)","(0, 138, 0)",13.152946438
"(13, 137, 0)","(0, 139, 0)",13.152946438
"(13, 138, 0)","(0, 140, 0)",13.152946438
"(13, 139, 0)","(0, 141, 0)",13.152946438
"(13, 140, 0)","(0, 142, 0)",13.152946438
"(13, 141, 0)","(0, 143, 0)",13.152946438
"(13, 142, 0)","(0, 144, 0)",13.152946438
"(13, 143, 0)","(0, 145, 0)",13.152946438
"(13, 144, 0)","(0, 146, 0)",13.152946438
"(13, 145, 0)","(0, 147, 0)",13.152946438
"(13, 146, 0)","(0, 148, 0)",13.152946438
"(13, 147, 0)","(0, 149, 0)",13.152946438
"(13, 148, 0)","(0, 150, 0)",13.152946438
"(13, 149, 0)","(0, 151, 0)",13.152946438
"(13, 150, 0)","(0, 152, 0)",13.152946438
"(13, 151, 0)","(0, 153, 0)",13.152946438
"(13, 152, 0)","(0, 154, 0)",13.152946438
"(13, 153, 0)","(0, 155, 0)",13.152946438
"(13, 154, 0)","(0, 156, 0)",13.152946438
"(13, 155, 0)","(0, 157, 0)",13.152946438
"(13, 156, 0)","(0, 158, 0)",13.152946438
"(13, 157, 0)","(0, 159, 0)",13.152946438
"(13, 158, 0)","(0, 160, 0)",13.152946438
"(13, 159, 0)","(0, 161, 0)",13.152946438
"(13, 160, 0)","(0, 162, 0)",13.152946438
"(13, 161, 0)","(0, 163, 0)",13.152946438
"(13, 162, 0)","(0, 164, 0)",13.152946438
"(13, 163, 0)","(0, 165, 0)",13.152946438
"(13, 164, 0)","(0, 166, 0)",13.152946438
"(13, 165, 0)","(0, 167, 0)",13.152946438
"(13, 166, 0)","(0, 168, 0)",13.152946438
"(13, 167, 0)","(0, 169, 0)",13.152946438
"(13, 168, 0)","(0, 170, 0)",13.152946438
"(13, 169, 0)","(0, 171, 0)",13.152946438
"(13, 170, 0)","(0, 172, 0)",13.152946438
"(13, 171, 0)","(0, 173, 0)",13.152946438
"(13, 172, 0)","(0, 174, 0)",13.152946438
"(13, 173, 0)","(0, 175, 0)",13.152946438
"(13, 174, 0)","(0, 176, 0)",13.152946438
"(13, 175, 0)","(0, 177, 0)",13.152946438
"(13, 176, 0)","(0, 178, 0)",13.152946438
"(13, 177, 0)","(0, 179, 0)",13.152946438
"(13, 178, 0)","(0, 180, 0)",13.152946438
"(13, 179, 0)","(0, 181, 0)",13.152946438
"(13, 180, 0)","(0, 182, 0)",13.152946438
"(13, 181, 0)","(0, 183, 0)",13.152946438
"(13, 182, 0)","(0, 184, 0)",13.152946438
"(13, 183, 0)","(0, 185, 0)",13.152946438
"(13, 184, 0)","(0, 186, 0)",13.152946438
"(13, 185, 0)","(0, 187, 0)",13.152946438
"(13, 186, 0)","(0, 188, 0)",13.152946438
"(13, 187, 0)","(0, 189, 0)",13.152946438
"(13, 188, 0)","(0, 190, 0)",13.152946438
"(13, 189, 0)","(0, 191, 0)",13.152946438
"(13, 190, 0)","(0, 192, 0)",13.152946438
"(13, 191, 0)","(0, 193, 0)",13.152946438
"(13, 192, 0)","(0, 194, 0)",13.152946438
"(13, 193, 0)","(0, 195, 0)",13.152946438
"(13, 194, 0)","(0, 196, 0)",13.152946438
"(13, 195, 0)","(0, 197, 0)",13.152946438
"(13, 196, 0)","(0, 198, 0)",13.152946438
"(13, 197, 0)","(0, 199, 0)",13.152946438
"(13, 198, 0)","(0, 200, 0)",13.152946438
"(13, 199, 0)","(0, 201, 0)",13.152946438
"(13, 200, 0)","(0, 202, 0)",13.152946438
"(13, 201, 0)","(0, 203, 0)",13.152946438
"(13, 202, 0)","(0, 204, 0)",13.152946438
"(13, 203, 0)","(0, 205, 0)",13.152946438
"(13, 204, 0)","(0, 206, 0)",13.152946438
"(13, 205, 0)","(0, 207, 0)",13.152946438
"(13, 206, 0)","(0, 208, 0)",13.152946438
"(13, 207, 0)","(0, 209, 0)",13.152946438
"(13, 208, 0)","(0, 210, 0)",13.152946438
"(13, 209, 0)","(0, 211, 0)",13.152946438
"(13, 210, 0)","(0, 212, 0)",13.152946438
"(13, 211, 0)","(0, 213, 0)",13.152946438
"(13, 212, 0)","(0, 214, 0)",13.152946438
"(13, 213, 0)","(0, 215, 0)",13.152946438
"(13, 214, 0)","(0, 216, 0)",13.152946438
"(13, 215, 0)","(0, 217, 0)",13.152946438
"(13, 216, 0)","(0, 218, 0)",13.152946438
"(13, 217, 0)","(0, 219, 0)",13.152946438
"(13, 218, 0)","(0, 220, 0)",13.152946438
"(13, 219, 0)","(0, 221, 0)",13.152946438
"(13, 220, 0)","(0, 222, 0)",13.152946438
"(13, 221, 0)","(0, 223, 0)",13.152946438
"(13, 222, 0)","(0, 224, 0)",13.152946438
"(13, 223, 0)","(0, 225, 0)",13.152946438
"(13, 224, 0)","(0, 226, 0)",13.152946438
"(13, 225, 0)","(0, 227, 0)",13.152946438
"(13, 226, 0)","(0, 228, 0)",13.152946438
"(13, 227, 0)","(0, 229, 0)",13.152946438
"(13, 228, 0)","(0, 230, 0)",13.152946438
"(13, 229, 0)","(0, 231, 0)",13.152946438
"(13, 230, 0)","(0, 232, 0)",13.152946438
"(13, 231, 0)","(0, 233, 0)",13.152946438
"(13, 232, 0)","(0, 234, 0)",13.152946438
"(13, 233, 0)","(0, 235, 0)",13.152946438
"(13, 234, 0)","(0, 236, 0)",13.152946438
"(13, 235, 0)","(0, 237, 0)",13.152946438
"(13, 236, 0)","(0, 238, 0)",13.152946438
"(13, 237, 0)","(0, 239, 0)",13.152946438
"(13, 238, 0)","(0, 240, 0)",13.152946438
"(13, 239, 0)","(0, 241, 0)",13.152946438
"(13, 240, 0)","(0, 242, 0)",13.152946438
"(13, 241, 0)","(0, 243, 0)",13.152946438
"(13, 242, 0)","(0, 244, 0)",13.152946438
"(13, 243, 0)","(0, 245, 0)",13.152946438
"(13, 244, 0)","(0, 246, 0)",13.152946438
"(13, 245, 0)","(0, 247, 0)",13.152946438
"(13, 246, 0)","(0, 248, 0)",13.152946438
"(13, 247, 0)","(0, 249, 0)",13.152946438
"(13, 248, 0)","(0, 250, 0)",13.152946438
"(13, 249, 0)","(0, 251, 0)",13.152946438
"(13, 250, 0)","(0, 252, 0)",13.152946438
"(13, 251, 0)","(0, 253, 0)",13.152946438
"(13, 252, 0)","(0, 254, 0)",13.152946438
"(13, 253, 0)","(0, 255, 0)",13.152946438
"(14, 128, 0)","(0, 130, 0)",14.1421356237
"(14, 129, 0)","(0, 131, 0)",14.1421356237
"(14, 130, 0)","(0, 132, 0)",14.1421356237
"(14, 131, 0)","(0, 133, 0)",14.1421356237
"(14, 132, 0)","(0, 134, 0)",14.1421356237
"(14, 133, 0)","(0, 135, 0)",14.1421356237
"(14, 134, 0)","(0, 136, 0)",14.1421356237
"(14, 135, 0)","(0, 137, 0)",14.1421356237
"(14, 136, 0)","(0, 138, 0)",14.1421356237
"(14, 137, 0)","(0, 139, 0)",14.1421356237
"(14, 138, 0)","(0, 140, 0)",14.1421356237
"(14, 139, 0)","(0, 141, 0)",14.1421356237
"(14, 140, 0)","(0, 142, 0)",14.1421356237
"(14, 141, 0)","(0, 143, 0)",14.1421356237
"(14, 142, 0)","(0, 144, 0)",14.1421356237
"(14, 143, 0)","(0, 145, 0)",14.1421356237
"(14, 144, 0)","(0, 146, 0)",14.1421356237
"(14, 145, 0)","(0, 147, 0)",14.1421356237
"(14, 146, 0)","(0, 148, 0)",14.1421356237
"(14, 147, 0)","(0, 149, 0)",14.1421356237
"(14, 148, 0)","(0, 150, 0)",14.1421356237
"(14, 149, 0)","(0, 151, 0)",14.1421356237
"(14, 150, 0)","(0, 152, 0)",14.1421356237
"(14, 151, 0)","(0, 153, 0)",14.1421356237
"(14, 152, 0)","(0, 154, 0)",14.1421356237
"(14, 153, 0)","(0, 155, 0)",14.1421356237
"(14, 154, 0)","(0, 156, 0)",14.1421356237
"(14, 155, 0)","(0, 157, 0)",14.1421356237
"(14, 156, 0)","(0, 158, 0)",14.1421356237
"(14, 157, 0)","(0, 159, 0)",14.1421356237
"(14, 158, 0)","(0, 160, 0)",14.1421356237
"(14, 159, 0)","(0, 161, 0)",14.1421356237
"(14, 160, 0)","(0, 162, 0)",14.1421356237
"(14, 161, 0)","(0, 163, 0)",14.1421356237
"(14, 162, 0)","(0, 164, 0)",14.1421356237
"(14, 163, 0)","(0, 165, 0)",14.1421356237
"(14, 164, 0)","(0, 166, 0)",14.1421356237
"(14, 165, 0)","(0, 167, 0)",14.1421356237
"(14, 166, 0)","(0, 168, 0)",14.1421356237
"(14, 167, 0)","(0, 169, 0)",14.1421356237
"(14, 168, 0)","(0, 170, 0)",14.1421356237
"(14, 169, 0)","(0, 171, 0)",14.1421356237
"(14, 170, 0)","(0, 172, 0)",14.1421356237
"(14, 171, 0)","(0, 173, 0)",14.1421356237
"(14, 172, 0)","(0, 174, 0)",14.1421356237
"(14, 173, 0)","(0, 175, 0)",14.1421356237
"(14, 174, 0)","(0, 176, 0)",14.1421356237
"(14, 175, 0)","(0, 177, 0)",14.1421356237
"(14, 176, 0)","(0, 178, 0)",14.1421356237
"(14, 177, 0)","(0, 179, 0)",14.1421356237
"(14, 178, 0)","(0, 180, 0)",14.1421356237
"(14, 179, 0)","(0, 181, 0)",14.1421356237
"(14, 180, 0)","(0, 182, 0)",14.1421356237
"(14, 181, 0)","(0, 183, 0)",14.1421356237
"(14, 182, 0)","(0, 184, 0)",14.1421356237
"(14, 183, 0)","(0, 185, 0)",14.1421356237
"(14, 184, 0)","(0, 186, 0)",14.1421356237
"(14, 185, 0)","(0, 187, 0)",14.1421356237
"(14, 186, 0)","(0, 188, 0)",14.1421356237
"(14, 187, 0)","(0, 189, 0)",14.1421356237
"(14, 188, 0)","(0, 190, 0)",14.1421356237
"(14, 189, 0)","(0, 191, 0)",14.1421356237
"(14, 190, 0)","(0, 192, 0)",14.1421356237
"(14, 191, 0)","(0, 193, 0)",14.1421356237
"(14, 192, 0)","(0, 194, 0)",14.1421356237
"(14, 193, 0)","(0, 195, 0)",14.1421356237
"(14, 194, 0)","(0, 196, 0)",14.1421356237
"(14, 195, 0)","(0, 197, 0)",14.1421356237
"(14, 196, 0)","(0, 198, 0)",14.1421356237
"(14, 197, 0)","(0, 199, 0)",14.1421356237
"(14, 198, 0)","(0, 200, 0)",14.1421356237
"(14, 199, 0)","(0, 201, 0)",14.1421356237
"(14, 200, 0)","(0, 202, 0)",14.1421356237
"(14, 201, 0)","(0, 203, 0)",14.1421356237
"(14, 202, 0)","(0, 204, 0)",14.1421356237
"(14, 203, 0)","(0, 205, 0)",14.1421356237
"(14, 204, 0)","(0, 206, 0)",14.1421356237
"(14, 205, 0)","(0, 207, 0)",14.1421356237
"(14, 206, 0)","(0, 208, 0)",14.1421356237
"(14, 207, 0)","(0, 209, 0)",14.1421356237
"(14, 208, 0)","(0, 210, 0)",14.1421356237
"(14, 209, 0)","(0, 211, 0)",14.1421356237
"(14, 210, 0)","(0, 212, 0)",14.1421356237
"(14, 211, 0)","(0, 213, 0)",14.1421356237
"(14, 212, 0)","(0, 214, 0)",14.1421356237
"(14, 213, 0)","(0, 215, 0)",14.1421356237
"(14, 214, 0)","(0, 216, 0)",14.1421356237
"(14, 215, 0)","(0, 217, 0)",14.1421356237
"(14, 216, 0)","(0, 218, 0)",14.1421356237
"(14, 217, 0)","(0, 219, 0)",14.1421356237
"(14, 218, 0)","(0, 220, 0)",14.1421356237
"(14, 219, 0)","(0, 221, 0)",14.1421356237
"(14, 220, 0)","(0, 222, 0)",14.1421356237
"(14, 221, 0)","(0, 223, 0)",14.1421356237
"(14, 222, 0)","(0, 224, 0)",14.1421356237
"(14, 223, 0)","(0, 225, 0)",14.1421356237
"(14, 224, 0)","(0, 226, 0)",14.1421356237
"(14, 225, 0)","(0, 227, 0)",14.1421356237
"(14, 226, 0)","(0, 228, 0)",14.1421356237
"(14, 227, 0)","(0, 229, 0)",14.1421356237
"(14, 228, 0)","(0, 230, 0)",14.1421356237
"(14, 229, 0)","(0, 231, 0)",14.1421356237
"(14, 230, 0)","(0, 232, 0)",14.1421356237
"(14, 231, 0)","(0, 233, 0)",14.1421356237
"(14, 232, 0)","(0, 234, 0)",14.1421356237
"(14, 233, 0)","(0, 235, 0)",14.1421356237
"(14, 234, 0)","(0, 236, 0)",14.1421356237
"(14, 235, 0)","(0, 237, 0)",14.1421356237
"(14, 236, 0)","(0, 238, 0)",14.1421356237
"(14, 237, 0)","(0, 239, 0)",14.1421356237
"(14, 238, 0)","(0, 240, 0)",14.1421356237
"(14, 239, 0)","(0, 241, 0)",14.1421356237
"(14, 240, 0)","(0, 242, 0)",14.1421356237
"(14, 241, 0)","(0, 243, 0)",14.1421356237
"(14, 242, 0)","(0, 244, 0)",14.1421356237
"(14, 243, 0)","(0, 245, 0)",14.1421356237
"(14, 244, 0)","(0, 246, 0)",14.1421356237
"(14, 245, 0)","(0, 247, 0)",14.1421356237
"(14, 246, 0)","(0, 248, 0)",14.1421356237
"(14, 247, 0)","(0, 249, 0)",14.1421356237
"(14, 248, 0)","(0, 250, 0)",14.1421356237
"(14, 249, 0)","(0, 251, 0)",14.1421356237
"(14, 250, 0)","(0, 252, 0)",14.1421356237
"(14, 251, 0)","(0, 253, 0)",14.1421356237
"(14, 252, 0)","(0, 254, 0)",14.1421356237
"(14, 253, 0)","(0, 255, 0)",14.1421356237
"(15, 128, 0)","(0, 130, 0)",15.1327459504
"(15, 129, 0)","(0, 131, 0)",15.1327459504
"(15, 130, 0)","(0, 132, 0)",15.1327459504
"(15, 131, 0)","(0, 133, 0)",15.1327459504
"(15, 132, 0)","(0, 134, 0)",15.1327459504
"(15, 133, 0)","(0, 135, 0)",15.1327459504
"(15, 134, 0)","(0, 136, 0)",15.1327459504
"(15, 135, 0)","(0, 137, 0)",15.1327459504
"(15, 136, 0)","(0, 138, 0)",15.1327459504
"(15, 137, 0)","(0, 139, 0)",15.1327459504
"(15, 138, 0)","(0, 140, 0)",15.1327459504
"(15, 139, 0)","(0, 141, 0)",15.1327459504
"(15, 140, 0)","(0, 142, 0)",15.1327459504
"(15, 141, 0)","(0, 143, 0)",15.1327459504
"(15, 142, 0)","(0, 144, 0)",15.1327459504
"(15, 143, 0)","(0, 145, 0)",15.1327459504
"(15, 144, 0)","(0, 146, 0)",15.1327459504
"(15, 145, 0)","(0, 147, 0)",15.1327459504
"(15, 146, 0)","(0, 148, 0)",15.1327459504
"(15, 147, 0)","(0, 149, 0)",15.1327459504
"(15, 148, 0)","(0, 150, 0)",15.1327459504
"(15, 149, 0)","(0, 151, 0)",15.1327459504
"(15, 150, 0)","(0, 152, 0)",15.1327459504
"(15, 151, 0)","(0, 153, 0)",15.1327459504
"(15, 152, 0)","(0, 154, 0)",15.1327459504
"(15, 153, 0)","(0, 155, 0)",15.1327459504
"(15, 154, 0)","(0, 156, 0)",15.1327459504
"(15, 155, 0)","(0, 157, 0)",15.1327459504
"(15, 156, 0)","(0, 158, 0)",15.1327459504
"(15, 157, 0)","(0, 159, 0)",15.1327459504
"(15, 158, 0)","(0, 160, 0)",15.1327459504
"(15, 159, 0)","(0, 161, 0)",15.1327459504
"(15, 160, 0)","(0, 162, 0)",15.1327459504
"(15, 161, 0)","(0, 163, 0)",15.1327459504
"(15, 162, 0)","(0, 164, 0)",15.1327459504
"(15, 163, 0)","(0, 165, 0)",15.1327459504
"(15, 164, 0)","(0, 166, 0)",15.1327459504
"(15, 165, 0)","(0, 167, 0)",15.1327459504
"(15, 166, 0)","(0, 168, 0)",15.1327459504
"(15, 167, 0)","(0, 169, 0)",15.1327459504
"(15, 168, 0)","(0, 170, 0)",15.1327459504
"(15, 169, 0)","(0, 171, 0)",15.1327459504
"(15, 170, 0)","(0, 172, 0)",15.1327459504
"(15, 171, 0)","(0, 173, 0)",15.1327459504
"(15, 172, 0)","(0, 174, 0)",15.1327459504
"(15, 173, 0)","(0, 175, 0)",15.1327459504
"(15, 174, 0)","(0, 176, 0)",15.1327459504
"(15, 175, 0)","(0, 177, 0)",15.1327459504
"(15, 176, 0)","(0, 178, 0)",15.1327459504
"(15, 177, 0)","(0, 179, 0)",15.1327459504
"(15, 178, 0)","(0, 180, 0)",15.1327459504
"(15, 179, 0)","(0, 181, 0)",15.1327459504
"(15, 180, 0)","(0, 182, 0)",15.1327459504
"(15, 181, 0)","(0, 183, 0)",15.1327459504
"(15, 182, 0)","(0, 184, 0)",15.1327459504
"(15, 183, 0)","(0, 185, 0)",15.1327459504
"(15, 184, 0)","(0, 186, 0)",15.1327459504
"(15, 185, 0)","(0, 187, 0)",15.1327459504
"(15, 186, 0)","(0, 188, 0)",15.1327459504
"(15, 187, 0)","(0, 189, 0)",15.1327459504
"(15, 188, 0)","(0, 190, 0)",15.1327459504
"(15, 189, 0)","(0, 191, 0)",15.1327459504
"(15, 190, 0)","(0, 192, 0)",15.1327459504
"(15, 191, 0)","(0, 193, 0)",15.1327459504
"(15, 192, 0)","(0, 194, 0)",15.1327459504
"(15, 193, 0)","(0, 195, 0)",15.1327459504
"(15, 194, 0)","(0, 196, 0)",15.1327459504
"(15, 195, 0)","(0, 197, 0)",15.1327459504
"(15, 196, 0)","(0, 198, 0)",15.1327459504
"(15, 197, 0)","(0, 199, 0)",15.1327459504
"(15, 198, 0)","(0, 200, 0)",15.1327459504
"(15, 199, 0)","(0, 201, 0)",15.1327459504
"(15, 200, 0)","(0, 202, 0)",15.1327459504
"(15, 201, 0)","(0, 203, 0)",15.1327459504
"(15, 202, 0)","(0, 204, 0)",15.1327459504
"(15, 203, 0)","(0, 205, 0)",15.1327459504
"(15, 204, 0)","(0, 206, 0)",15.1327459504
"(15, 205, 0)","(0, 207, 0)",15.1327459504
"(15, 206, 0)","(0, 208, 0)",15.1327459504
"(15, 207, 0)","(0, 209, 0)",15.1327459504
"(15, 208, 0)","(0, 210, 0)",15.1327459504
"(15, 209, 0)","(0, 211, 0)",15.1327459504
"(15, 210, 0)","(0, 212, 0)",15.1327459504
"(15, 211, 0)","(0, 213, 0)",15.1327459504
"(15, 212, 0)","(0, 214, 0)",15.1327459504
"(15, 213, 0)","(0, 215, 0)",15.1327459504
"(15, 214, 0)","(0, 216, 0)",15.1327459504
"(15, 215, 0)","(0, 217, 0)",15.1327459504
"(15, 216, 0)","(0, 218, 0)",15.1327459504
"(15, 217, 0)","(0, 219, 0)",15.1327459504
"(15, 218, 0)","(0, 220, 0)",15.1327459504
"(15, 219, 0)","(0, 221, 0)",15.1327459504
"(15, 220, 0)","(0, 222, 0)",15.1327459504
"(15, 221, 0)","(0, 223, 0)",15.1327459504
"(15, 222, 0)","(0, 224, 0)",15.1327459504
"(15, 223, 0)","(0, 225, 0)",15.1327459504
"(15, 224, 0)","(0, 226, 0)",15.1327459504
"(15, 225, 0)","(0, 227, 0)",15.1327459504
"(15, 226, 0)","(0, 228, 0)",15.1327459504
"(15, 227, 0)","(0, 229, 0)",15.1327459504
"(15, 228, 0)","(0, 230, 0)",15.1327459504
"(15, 229, 0)","(0, 231, 0)",15.1327459504
"(15, 230, 0)","(0, 232, 0)",15.1327459504
"(15, 231, 0)","(0, 233, 0)",15.1327459504
"(15, 232, 0)","(0, 234, 0)",15.1327459504
"(15, 233, 0)","(0, 235, 0)",15.1327459504
"(15, 234, 0)","(0, 236, 0)",15.1327459504
"(15, 235, 0)","(0, 237, 0)",15.1327459504
"(15, 236, 0)","(0, 238, 0)",15.1327459504
"(15, 237, 0)","(0, 239, 0)",15.1327459504
"(15, 238, 0)","(0, 240, 0)",15.1327459504
"(15, 239, 0)","(0, 241, 0)",15.1327459504
"(15, 240, 0)","(0, 242, 0)",15.1327459504
"(15, 241, 0)","(0, 243, 0)",15.1327459504
"(15, 242, 0)","(0, 244, 0)",15.1327459504
"(15, 243, 0)","(0, 245, 0)",15.1327459504
"(15, 244, 0)","(0, 246, 0)",15.1327459504
"(15, 245, 0)","(0, 247, 0)",15.1327459504
"(15, 246, 0)","(0, 248, 0)",15.1327459504
"(15, 247, 0)","(0, 249, 0)",15.1327459504
"(15, 248, 0)","(0, 250, 0)",15.1327459504
"(15, 249, 0)","(0, 251, 0)",15.1327459504
"(15, 250, 0)","(0, 252, 0)",15.1327459504
"(15, 251, 0)","(0, 253, 0)",15.1327459504
"(15, 252, 0)","(0, 254, 0)",15.1327459504
"(15, 253, 0)","(0, 255, 0)",15.1327459504
"(16, 128, 0)","(0, 130, 0)",16.1245154966
"(16, 128, 0)","(0, 131, 0)",16.2788205961
"(16, 129, 0)","(0, 131, 0)",16.1245154966
"(16, 129, 0)","(0, 132, 0)",16.2788205961
"(16, 130, 0)","(0, 132, 0)",16.1245154966
"(16, 130, 0)","(0, 133, 0)",16.2788205961
"(16, 131, 0)","(0, 133, 0)",16.1245154966
"(16, 131, 0)","(0, 134, 0)",16.2788205961
"(16, 132, 0)","(0, 134, 0)",16.1245154966
"(16, 132, 0)","(0, 135, 0)",16.2788205961
"(16, 133, 0)","(0, 135, 0)",16.1245154966
"(16, 133, 0)","(0, 136, 0)",16.2788205961
"(16, 134, 0)","(0, 136, 0)",16.1245154966
"(16, 134, 0)","(0, 137, 0)",16.2788205961
"(16, 135, 0)","(0, 137, 0)",16.1245154966
"(16, 135, 0)","(0, 138, 0)",16.2788205961
"(16, 136, 0)","(0, 138, 0)",16.1245154966
"(16, 136, 0)","(0, 139, 0)",16.2788205961
"(16, 137, 0)","(0, 139, 0)",16.1245154966
"(16, 137, 0)","(0, 140, 0)",16.2788205961
"(16, 138, 0)","(0, 140, 0)",16.1245154966
"(16, 138, 0)","(0, 141, 0)",16.2788205961
"(16, 139, 0)","(0, 141, 0)",16.1245154966
"(16, 139, 0)","(0, 142, 0)",16.2788205961
"(16, 140, 0)","(0, 142, 0)",16.1245154966
"(16, 140, 0)","(0, 143, 0)",16.2788205961
"(16, 141, 0)","(0, 143, 0)",16.1245154966
"(16, 141, 0)","(0, 144, 0)",16.2788205961
"(16, 142, 0)","(0, 144, 0)",16.1245154966
"(16, 142, 0)","(0, 145, 0)",16.2788205961
"(16, 143, 0)","(0, 145, 0)",16.1245154966
"(16, 143, 0)","(0, 146, 0)",16.2788205961
"(16, 144, 0)","(0, 146, 0)",16.1245154966
"(16, 144, 0)","(0, 147, 0)",16.2788205961
"(16, 145, 0)","(0, 147, 0)",16.1245154966
"(16, 145, 0)","(0, 148, 0)",16.2788205961
"(16, 146, 0)","(0, 148, 0)",16.1245154966
"(16, 146, 0)","(0, 149, 0)",16.2788205961
"(16, 147, 0)","(0, 149, 0)",16.1245154966
"(16, 147, 0)","(0, 150, 0)",16.2788205961
"(16, 148, 0)","(0, 150, 0)",16.1245154966
"(16, 148, 0)","(0, 151, 0)",16.2788205961
"(16, 149, 0)","(0, 151, 0)",16.1245154966
"(16, 149, 0)","(0, 152, 0)",16.2788205961
"(16, 150, 0)","(0, 152, 0)",16.1245154966
"(16, 150, 0)","(0, 153, 0)",16.2788205961
"(16, 151, 0)","(0, 153, 0)",16.1245154966
"(16, 151, 0)","(0, 154, 0)",16.2788205961
"(16, 152, 0)","(0, 154, 0)",16.1245154966
"(16, 152, 0)","(0, 155, 0)",16.2788205961
"(16, 153, 0)","(0, 155, 0)",16.1245154966
"(16, 153, 0)","(0, 156, 0)",16.2788205961
"(16, 154, 0)","(0, 156, 0)",16.1245154966
"(16, 154, 0)","(0, 157, 0)",16.2788205961
"(16, 155, 0)","(0, 157, 0)",16.1245154966
"(16, 155, 0)","(0, 158, 0)",16.2788205961
"(16, 156, 0)","(0, 158, 0)",16.1245154966
"(16, 156, 0)","(0, 159, 0)",16.2788205961
"(16, 157, 0)","(0, 159, 0)",16.1245154966
"(16, 157, 0)","(0, 160, 0)",16.2788205961
"(16, 158, 0)","(0, 160, 0)",16.1245154966
"(16, 158, 0)","(0, 161, 0)",16.2788205961
"(16, 159, 0)","(0, 161, 0)",16.1245154966
"(16, 159, 0)","(0, 162, 0)",16.2788205961
"(16, 160, 0)","(0, 162, 0)",16.1245154966
"(16, 160, 0)","(0, 163, 0)",16.2788205961
"(16, 161, 0)","(0, 163, 0)",16.1245154966
"(16, 161, 0)","(0, 164, 0)",16.2788205961
"(16, 162, 0)","(0, 164, 0)",16.1245154966
"(16, 162, 0)","(0, 165, 0)",16.2788205961
"(16, 163, 0)","(0, 165, 0)",16.1245154966
"(16, 163, 0)","(0, 166, 0)",16.2788205961
"(16, 164, 0)","(0, 166, 0)",16.1245154966
"(16, 164, 0)","(0, 167, 0)",16.2788205961
"(16, 165, 0)","(0, 167, 0)",16.1245154966
"(16, 165, 0)","(0, 168, 0)",16.2788205961
"(16, 166, 0)","(0, 168, 0)",16.1245154966
"(16, 166, 0)","(0, 169, 0)",16.2788205961
"(16, 167, 0)","(0, 169, 0)",16.1245154966
"(16, 167, 0)","(0, 170, 0)",16.2788205961
"(16, 168, 0)","(0, 170, 0)",16.1245154966
